Code,"Indicator Name","Long definition","Source"
SP.POP.5054.FE,"Population ages 50-54, female","Female population between the ages 50 to 54.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.5559.FE,"Population ages 55-59, female","Female population between the ages 55 to 59.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.6064.FE,"Population ages 60-64, female","Female population between the ages 60 to 64.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.6569.FE,"Population ages 65-69, female","Female population between the ages 65 to 69.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.7074.FE,"Population ages 70-74, female","Female population between the ages 70 to 74.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.7579.FE,"Population ages 75-79, female","Female population between the ages 75 to 79.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.80UP.FE,"Population ages 80 and above, female","Female population between the ages 80 and above.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)","Total fertility rate represents the number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates of the specified year.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)","GNI per capita (formerly GNP per capita) is the gross national income, converted to U.S. dollars using the World Bank Atlas method, divided by the midyear population. GNI is the sum of value added by all resident producers plus any product taxes (less subsidies) not included in the valuation of output plus net receipts of primary income (compensation of employees and property income) from abroad. GNI, calculated in national currency, is usually converted to U.S. dollars at official exchange rates for comparisons across economies, although an alternative rate is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate actually applied in international transactions. To smooth fluctuations in prices and exchange rates, a special Atlas method of conversion is used by the World Bank. This applies a conversion factor that averages the exchange rate for a given year and the two preceding years, adjusted for differences in rates of inflation between the country, and through 2000, the G-5 countries (France, Germany, Japan, the United Kingdom, and the United States). From 2001, these countries include the Euro area, Japan, the United Kingdom, and the United States.","World Bank national accounts data, and OECD National Accounts data files."
SH.XPD.PCAP,"Health expenditure per capita (current US$)","Total health expenditure is the sum of public and private health expenditures as a ratio of total population. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation. Data are in current U.S. dollars.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.PCAP.PP.KD,"Health expenditure per capita, PPP (constant 2011 international $)","Total health expenditure is the sum of public and private health expenditures as a ratio of total population. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation. Data are in international dollars converted using 2011 purchasing power parity (PPP) rates.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.PRIV.ZS,"Health expenditure, private (% of GDP)","Private health expenditure includes direct household (out-of-pocket) spending, private insurance, charitable donations, and direct service payments by private corporations.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.PRIV,"Health expenditure, private (% of total health expenditure)","Private health expenditure includes direct household (out-of-pocket) spending, private insurance, charitable donations, and direct service payments by private corporations.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.PUBL.ZS,"Health expenditure, public (% of GDP)","Public health expenditure consists of recurrent and capital spending from government (central and local) budgets, external borrowings and grants (including donations from international agencies and nongovernmental organizations), and social (or compulsory) health insurance funds.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.PUBL.GX.ZS,"Health expenditure, public (% of government expenditure)","Public health expenditure consists of recurrent and capital spending from government (central and local) budgets, external borrowings and grants (including donations from international agencies and nongovernmental organizations), and social (or compulsory) health insurance funds.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.PUBL,"Health expenditure, public (% of total health expenditure)","Public health expenditure consists of recurrent and capital spending from government (central and local) budgets, external borrowings and grants (including donations from international agencies and nongovernmental organizations), and social (or compulsory) health insurance funds. Total health expenditure is the sum of public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.TOTL.ZS,"Health expenditure, total (% of GDP)","Total health expenditure is the sum of public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.XPD.TOTL.CD,"Health expenditure, total (current US$)","Total health expenditure is the sum of public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation.","World Health Organization Global Health Expenditure database (see http://apps.who.int/nha/database for the most recent updates)."
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)","Hospital beds include inpatient beds available in public, private, general, and specialized hospitals and rehabilitation centers. In most cases beds for both acute and chronic care are included.","Data are from the World Health Organization, supplemented by country data."
SH.IMM.IBCG,"Immunization, BCG (% of one-year-old children)","Child immunization rate, BCG is the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey for BCG. A child is considered adequately immunized after one dose.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)."
SH.IMM.IDPT,"Immunization, DPT (% of children ages 12-23 months)","Child immunization measures the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against diphtheria, pertussis (or whooping cough), and tetanus (DPT) after receiving three doses of vaccine.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)."
SH.IMM.HEPB,"Immunization, HepB3 (% of one-year-old children)","Child immunization rate, hepatitis B is the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized after three doses.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)."
SH.IMM.HIB3,"Immunization, Hib3 (% of children ages 12-23 months)","Child immunization measures the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against Hib3 after receiving three doses of Haemophilus influenzae type b vaccine.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)."
SH.IMM.MEAS,"Immunization, measles (% of children ages 12-23 months)","Child immunization measures the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized against measles after receiving one dose of vaccine.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)."
SH.IMM.POL3,"Immunization, Pol3 (% of one-year-old children)","Child immunization rate, Polio is the percentage of children ages 12-23 months who received vaccinations before 12 months or at any time before the survey. A child is considered adequately immunized after three doses.","WHO and UNICEF (http://www.who.int/immunization/monitoring_surveillance/en/)."
SH.STA.ACSN,"Improved sanitation facilities (% of population with access)","Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. Improved sanitation facilities are likely to ensure hygienic separation of human excreta from human contact. They include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/)."
SH.STA.ACSN.RU,"Improved sanitation facilities, rural (% of rural population with access)","Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. Improved sanitation facilities are likely to ensure hygienic separation of human excreta from human contact. They include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/)."
SH.STA.ACSN.UR,"Improved sanitation facilities, urban (% of urban population with access)","Access to improved sanitation facilities refers to the percentage of the population using improved sanitation facilities. Improved sanitation facilities are likely to ensure hygienic separation of human excreta from human contact. They include flush/pour flush (to piped sewer system, septic tank, pit latrine), ventilated improved pit (VIP) latrine, pit latrine with slab, and composting toilet.","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/)."
SH.H2O.SAFE.ZS,"Improved water source (% of population with access)","Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the user’s dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/)."
SH.H2O.SAFE.RU.ZS,"Improved water source, rural (% of rural population with access)","Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the user’s dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/)."
SH.H2O.SAFE.UR.ZS,"Improved water source, urban (% of urban population with access)","Access to an improved water source refers to the percentage of the population using an improved drinking water source. The improved drinking water source includes piped water on premises (piped household water connection located inside the user’s dwelling, plot or yard), and other improved drinking water sources (public taps or standpipes, tube wells or boreholes, protected dug wells, protected springs, and rainwater collection).","WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation (http://www.wssinfo.org/)."
SH.HIV.INCD.ZS,"Incidence of HIV (% of uninfected population ages 15-49)","Number of new HIV infections among uninfected populations ages 15-49 expressed as percentage.","UNAIDS estimates."
SH.MLR.INCD.P3,"Incidence of malaria (per 1,000 population at risk)","Incidence of malaria is the number of new cases of malaria in a year per 1,000 population at risk.","World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/ghodata/)."
SH.TBS.INCD,"Incidence of tuberculosis (per 100,000 people)","Incidence of tuberculosis is the estimated number of new and relapse tuberculosis cases arising in a given year, expressed as the rate per 100,000 population. All forms of TB are included, including cases in people living with HIV. Estimates for all years are recalculated as new information becomes available and techniques are refined, so they may differ from those published previously.","World Health Organization, Global Tuberculosis Report."
SH.STA.IYCF.ZS,"Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)","Percentage of children age 6-23 months fed in accordance with all three infant and young child feeding (IYCF) practices (food diversity, feeding frequency, and consumption of breast milk or milk)","Demographic and Health Surveys"
SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)","Female labor force as a percentage of the total show the extent to which women are active in the labor force. Labor force comprises people ages 15 and older who meet the International Labour Organization's definition of the economically active population.","International Labour Organization, using World Bank population estimates."
SL.TLF.TOTL.IN,"Labor force, total","Total labor force comprises people ages 15 and older who meet the International Labour Organization definition of the economically active population: all people who supply labor for the production of goods and services during a specified period. It includes both the employed and the unemployed. While national practices vary in the treatment of such groups as the armed forces and seasonal or part-time workers, in general the labor force includes the armed forces, the unemployed, and first-time job-seekers, but excludes homemakers and other unpaid caregivers and workers in the informal sector.","International Labour Organization, using World Bank population estimates."
SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","(1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)","Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.","Derived from male and female life expectancy at birth from sources such as: (1) United Nations Population Division. World Population Prospects, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
SH.MMR.RISK.ZS,"Lifetime risk of maternal death (%)","Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva, World Health Organization, 2015"
SH.MMR.RISK,"Lifetime risk of maternal death (1 in: rate varies by country)","Life time risk of maternal death is the probability that a 15-year-old female will die eventually from a maternal cause assuming that current levels of fertility and mortality (including maternal mortality) do not change in the future, taking into account competing causes of death.","WHO, UNICEF, UNFPA, World Bank Group, and the United Nations Population Division. Trends in Maternal Mortality: 1990 to 2015. Geneva, World Health Organization, 2015"
SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)","Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)","Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)","Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)","Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)","Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
SH.STA.BRTW.ZS,"Low-birthweight babies (% of births)","Low-birthweight babies are newborns weighing less than 2,500 grams, with the measurement taken within the first hours of life, before significant postnatal weight loss has occurred.","UNICEF, State of the World's Children, Childinfo, and Demographic and Health Surveys."
SH.STA.MALR,"Malaria cases reported","Reported cases of malaria are the number of confirmed cases of malaria (confirmed by slide examination or RDT).","World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/ghodata/). WHO compiles data on reported cases of malaria, submitted by the national malaria control programmes (NMCPs)."
SP.POP.0004.MA,"Population ages 0-4, male","Male population between the ages 0 to 4.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.0509.MA,"Population ages 5-9, male","Male population between the ages 5 to 9.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1014.MA,"Population ages 10-14, male","Male population between the ages 10 to 14.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.1519.MA,"Population ages 15-19, male","Male population between the ages 15 to 19.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.2024.MA,"Population ages 20-24, male","Male population between the ages 20 to 24.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.2529.MA,"Population ages 25-29, male","Male population between the ages 25 to 29.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.3034.MA,"Population ages 30-34, male","Male population between the ages 30 to 34.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.3539.MA,"Population ages 35-39, male","Male population between the ages 35 to 39.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.4044.MA,"Population ages 40-44, male","Male population between the ages 40 to 44.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.4549.MA,"Population ages 45-49, male","Male population between the ages 45 to 49.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.5054.MA,"Population ages 50-54, male","Male population between the ages 50 to 54.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.5559.MA,"Population ages 55-59, male","Male population between the ages 55 to 59.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.6064.MA,"Population ages 60-64, male","Male population between the ages 60 to 64.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.6569.MA,"Population ages 65-69, male","Male population between the ages 65 to 69.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.7074.MA,"Population ages 70-74, male","Male population between the ages 70 to 74.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.7579.MA,"Population ages 75-79, male","Male population between the ages 75 to 79.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SP.POP.80UP.MA,"Population ages 80 and above, male","Male population between the ages 80 and above.","World Bank staff estimates using the World Bank's total population and age distributions of the United Nations Population Division's World Population Prospects. The World Bank's total population estimates are from various sources including the United Nations Population Division's World Population Prospects; census reports and statistical publications from national statistical offices; Eurostat's Demographic Statistics; United Nations Statistical Division, Population and Vital Statistics Report (various years); U.S. Census Bureau: International Database; and Secretariat of the Pacific Community, Statistics and Demography Programme."
SH.STA.STNT.ZS,"Prevalence of stunting, height for age (% of children under 5)","Prevalence of stunting is the percentage of children under age 5 whose height for age is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.","World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology."
SH.STA.STNT.FE.ZS,"Prevalence of stunting, height for age, female (% of children under 5)","Prevalence of stunting is the percentage of children under age 5 whose height for age is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.","World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries."
SH.STA.STNT.MA.ZS,"Prevalence of stunting, height for age, male (% of children under 5)","Prevalence of stunting is the percentage of children under age 5 whose height for age is more than two standard deviations below the median for the international reference population ages 0-59 months. For children up to two years old height is measured by recumbent length. For older children height is measured by stature while standing. The data are based on the WHO's new child growth standards released in 2006.","World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries."
SH.STA.MALN.ZS,"Prevalence of underweight, weight for age (% of children under 5)","Prevalence of underweight children is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.","World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries. Adjusted, comparable data are available at http://www.who.int/nutgrowthdb/en. Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology."
SH.STA.MALN.FE.ZS,"Prevalence of underweight, weight for age, female (% of children under 5)","Prevalence of underweight children is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.","World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries."
SH.STA.MALN.MA.ZS,"Prevalence of underweight, weight for age, male (% of children under 5)","Prevalence of underweight children is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's new child growth standards released in 2006.","World Health Organization, Global Database on Child Growth and Malnutrition. Country-level data are unadjusted data from national surveys, and thus may not be comparable across countries."
SH.MMR.WAGE.ZS,"Maternal leave benefits (% of wages paid)","Maternity leave benefits refers to the total percentage of wages covered by all sources during paid maternity leave.","World Bank, Women, Business and the Law."
